,cited,verdict,verdictDate,invalidProb,citing
0,7418504,0,2014-09-16,0.8292682926829268,7747774.0
1,7418504,0,2014-09-16,0.8292682926829268,8032933.0
2,7418504,0,2014-09-16,0.8292682926829268,8117639.0
3,7418504,0,2014-09-16,0.8292682926829268,8214518.0
4,7418504,0,2014-09-16,0.8292682926829268,8108915.0
5,7418504,0,2014-09-16,0.8292682926829268,8356336.0
6,7418504,0,2014-09-16,0.8292682926829268,8224983.0
7,7418504,0,2014-09-16,0.8292682926829268,8225404.0
8,7418504,0,2014-09-16,0.8292682926829268,8397282.0
9,7418504,0,2014-09-16,0.8292682926829268,8381273.0
10,7418504,0,2014-09-16,0.8292682926829268,8458341.0
11,7418504,0,2014-09-16,0.8292682926829268,8521888.0
12,7418504,0,2014-09-16,0.8292682926829268,8484695.0
13,7418504,0,2014-09-16,0.8292682926829268,8543710.0
14,7418504,0,2014-09-16,0.8292682926829268,8504696.0
15,7418504,0,2014-09-16,0.8292682926829268,8504697.0
16,7418504,0,2014-09-16,0.8292682926829268,8434148.0
17,7418504,0,2014-09-16,0.8292682926829268,8612626.0
18,7418504,0,2014-09-16,0.8292682926829268,8572247.0
19,7418504,0,2014-09-16,0.8292682926829268,8429725.0
20,7418504,0,2014-09-16,0.8292682926829268,8516117.0
21,7418504,0,2014-09-16,0.8292682926829268,8516131.0
22,7418504,0,2014-09-16,0.8292682926829268,8694610.0
23,7418504,0,2014-09-16,0.8292682926829268,8559431.0
24,7418504,0,2014-09-16,0.8292682926829268,8560705.0
25,7418504,0,2014-09-16,0.8292682926829268,8554899.0
26,7418504,0,2014-09-16,0.8292682926829268,8725880.0
27,7418504,0,2014-09-16,0.8292682926829268,8843643.0
28,7418504,0,2014-09-16,0.8292682926829268,8751667.0
29,7418504,0,2014-09-16,0.8292682926829268,8868705.0
30,7418504,0,2014-09-16,0.8292682926829268,8850009.0
31,7418504,0,2014-09-16,0.8292682926829268,8874771.0
32,7418504,0,2014-09-16,0.8292682926829268,8661153.0
33,7418504,0,2014-09-16,0.8292682926829268,8917311.0
34,7418504,0,2014-09-16,0.8292682926829268,8918865.0
35,7418504,0,2014-09-16,0.8292682926829268,9027115.0
36,7418504,0,2014-09-16,0.8292682926829268,8704863.0
37,7418504,0,2014-09-16,0.8292682926829268,9069782.0
38,7418504,0,2014-09-16,0.8292682926829268,9094399.0
39,7418504,0,2014-09-16,0.8292682926829268,8862871.0
40,7418504,0,2014-09-16,0.8292682926829268,9143481.0
41,7418504,0,2014-09-16,0.8292682926829268,9077694.0
42,7418504,0,2014-09-16,0.8292682926829268,9077695.0
43,7418504,0,2014-09-16,0.8292682926829268,9078128.0
44,7418504,0,2014-09-16,0.8292682926829268,8881261.0
45,7418504,0,2014-09-16,0.8292682926829268,8948797.0
46,7418504,0,2014-09-16,0.8292682926829268,8904516.0
47,7418504,0,2014-09-16,0.8292682926829268,9100375.0
48,7418504,0,2014-09-16,0.8292682926829268,8943201.0
49,7418504,0,2014-09-16,0.8292682926829268,9037713.0
50,7418504,0,2014-09-16,0.8292682926829268,9038163.0
51,7418504,0,2014-09-16,0.8292682926829268,9112897.0
52,7418504,0,2014-09-16,0.8292682926829268,9386000.0
53,7418504,0,2014-09-16,0.8292682926829268,9154426.0
54,7418504,0,2014-09-16,0.8292682926829268,9479426.0
55,7418504,0,2014-09-16,0.8292682926829268,9590971.0
56,7418504,0,2014-09-16,0.8292682926829268,9374346.0
57,7418504,0,2014-09-16,0.8292682926829268,9767271.0
58,7418504,0,2014-09-16,0.8292682926829268,9767284.0
59,7418504,0,2014-09-16,0.8292682926829268,9413766.0
60,7418504,0,2014-09-16,0.8292682926829268,9819649.0
61,7418504,0,2014-09-16,0.8292682926829268,9537824.0
62,7418504,0,2014-09-16,0.8292682926829268,9552495.0
63,7418504,0,2014-09-16,0.8292682926829268,9608980.0
64,7418504,0,2014-09-16,0.8292682926829268,9577976.0
65,7418504,0,2014-09-16,0.8292682926829268,9602485.0
66,7418504,0,2014-09-16,0.8292682926829268,9967240.0
67,7418504,0,2014-09-16,0.8292682926829268,9762625.0
68,7418504,0,2014-09-16,0.8292682926829268,9860283.0
69,7921211,0,2014-09-16,0.8292682926829268,8161547.0
70,7921211,0,2014-09-16,0.8292682926829268,8458341.0
